"","A1","A2","A3","A1","A2","A3"
"457",0,0,1,0.3052,0.0503,0.7197
"458",1,1,1,0.9815,0.9383,0.9943
"459",1,1,1,0.9676,0.892,0.993
"460",1,1,1,0.9685,0.724,0.96
"461",1,0,1,0.9317,0.0335,0.9737
"462",1,1,1,0.9748,0.9146,0.903
"463",1,1,1,0.9565,0.6824,0.9709
"464",1,0,1,0.931,0.0409,0.9747
"465",1,0,1,0.5318,0.2014,0.7067
"466",1,0,1,0.9313,0.0197,0.9741
"467",1,1,0,0.687,0.7832,0.0873
"468",1,1,0,0.8543,0.747,0.4353
"469",1,1,1,0.9679,0.8903,0.9655
"470",1,0,1,0.6155,0.0282,0.8444
"471",1,0,1,0.6006,0.3301,0.6589
"472",1,0,1,0.839,0.273,0.8053
"473",1,1,0,0.6626,0.7588,0.0796
"474",1,0,1,0.8108,0.3323,0.6599
"475",1,1,1,0.9849,0.9669,0.9744
"476",1,1,0,0.825,0.8353,0.3254
"477",1,1,1,0.998,0.985,0.994
"478",0,0,1,0.0832,0.4193,0.6345
"479",1,1,0,0.936,0.94,0.4811
"480",1,1,1,0.998,0.9856,0.9942
"481",1,0,0,0.5794,0.1138,0.2817
"482",1,1,1,0.8638,0.8788,0.6222
"483",1,0,1,0.9175,0.0437,0.8884
"484",1,1,1,0.9947,0.9884,0.9901
"485",1,1,1,0.9383,0.9416,0.5003
"486",1,0,1,0.7808,0.234,0.7074
"487",1,0,1,0.9315,0.019,0.9733
"488",1,0,1,0.9306,0.0056,0.973
"489",1,1,1,0.9992,0.9974,0.9989
"490",1,0,1,0.7834,0.2428,0.7107
"491",0,1,0,0.3517,0.5102,0.2014
"492",1,1,1,0.8753,0.6478,0.8206
"493",1,0,1,0.6114,0.0476,0.8574
"494",1,1,1,0.9921,0.9953,0.9894
"495",0,0,0,0.3818,0.4298,0.4535
"496",0,0,1,0.291,0.0398,0.735
"497",0,1,0,0.3672,0.5513,0.1548
"498",1,1,1,0.9825,0.8709,0.9813
"499",0,1,0,0.3604,0.5588,0.1689
"500",1,0,1,0.9019,0.0516,0.9385
"501",1,0,1,0.9309,0.0099,0.9731
"502",1,1,1,0.9377,0.641,0.9671
"503",1,1,1,0.9643,0.6677,0.936
"504",1,1,1,0.967,0.81,0.9826
"505",1,1,1,0.9814,0.8267,0.9666
"506",1,1,1,0.8024,0.6685,0.6455
"507",1,1,1,0.9951,0.964,0.9931
"508",1,1,1,0.9961,0.966,0.9863
"509",1,0,0,0.671,0.0573,0.4642
"510",1,0,1,0.8978,0.1052,0.942
"511",1,0,1,0.6097,0.3909,0.6899
"512",1,0,1,0.6184,0.3671,0.6709
"513",1,1,0,0.5304,0.5012,0.3519
"514",1,1,1,0.9693,0.833,0.9758
"515",1,1,1,0.9923,0.9434,0.9918
"516",1,1,1,0.889,0.8277,0.8615
"517",1,1,1,0.9774,0.9363,0.9456
"518",1,1,1,0.9324,0.7748,0.9854
"519",1,1,1,0.9988,0.9936,0.9974
"520",1,0,1,0.9248,0.2996,0.9358
"521",1,1,0,0.7777,0.6909,0.2044
"522",1,1,1,0.6801,0.6871,0.5876
"523",0,1,0,0.1405,0.6886,0.2067
"524",1,1,1,0.9482,0.8276,0.9842
"525",1,0,1,0.6135,0.0269,0.8543
"526",1,1,0,0.6503,0.6903,0.3959
"527",1,0,1,0.5848,0.3036,0.7055
"528",1,1,1,0.8952,0.8934,0.9446
"529",1,0,1,0.9405,0.1503,0.9729
"530",1,1,0,0.5193,0.5503,0.2629
"531",1,0,1,0.9343,0.0594,0.967
"532",1,1,1,0.9988,0.9936,0.9974
"533",0,0,0,0.3168,0.3699,0.4985
"534",1,0,1,0.9175,0.2026,0.8845
"535",1,1,1,0.9992,0.9974,0.9989
"536",1,1,1,0.9587,0.6951,0.9737
"537",1,1,1,0.9968,0.9818,0.9965
"538",1,1,0,0.9157,0.9193,0.3015
"539",1,1,1,0.8664,0.8858,0.7178
"540",1,0,1,0.5396,0.1983,0.7116
"541",1,0,1,0.7786,0.2196,0.7019
"542",1,1,1,0.9598,0.9656,0.7641
"543",0,1,0,0.465,0.5023,0.306
"544",1,0,1,0.9096,0.2083,0.9487
"545",0,0,0,0.4092,0.4735,0.4954
"546",1,1,1,0.995,0.9841,0.9624
"547",1,1,1,0.6201,0.5108,0.7457
"548",1,1,0,0.7666,0.7802,0.3231
"549",1,0,1,0.6135,0.0236,0.8495
"550",1,0,1,0.6201,0.069,0.8565
"551",1,0,1,0.9324,0.0423,0.974
"552",1,0,1,0.9165,0.1823,0.8927
"553",1,1,1,0.9622,0.9172,0.9293
"554",1,1,1,0.9925,0.9455,0.9921
"555",1,0,1,0.9357,0.3807,0.9103
"556",1,1,1,0.9841,0.8597,0.9797
"557",1,1,1,0.7824,0.9307,0.8951
"558",1,0,1,0.8429,0.496,0.7433
"559",1,0,1,0.9078,0.1084,0.9182
"560",1,1,0,0.5866,0.596,0.212
"561",0,0,1,0.0607,0.3986,0.6404
"562",1,0,1,0.9116,0.1772,0.9245
"563",1,0,1,0.9305,0.0083,0.9738
"564",1,1,1,0.9949,0.9626,0.9928
"565",0,0,0,0.4596,0.4714,0.2716
"566",1,1,1,0.8918,0.9141,0.6441
"567",1,1,1,0.9693,0.7343,0.9756
"568",1,1,1,0.9678,0.8144,0.9731
"569",1,1,0,0.81,0.8223,0.446
"570",1,1,1,0.995,0.9834,0.9968
"571",1,1,1,0.8595,0.8153,0.9059
"572",1,0,1,0.9063,0.0223,0.8477
"573",1,0,1,0.9281,0.4699,0.9514
"574",1,1,0,0.7324,0.8427,0.3379
"575",1,0,1,0.9183,0.296,0.9354
"576",1,1,1,0.9992,0.9974,0.9989
"577",1,1,1,0.9544,0.9727,0.9708
"578",1,1,1,0.9445,0.5139,0.9554
"579",0,0,1,0.2592,0.3058,0.53
"580",1,0,1,0.9437,0.4556,0.8952
"581",1,1,0,0.9138,0.9316,0.4081
"582",1,0,1,0.5561,0.4226,0.7507
"583",1,1,1,0.9971,0.984,0.9969
"584",1,0,1,0.9319,0.0282,0.9726
"585",1,0,0,0.7622,0.315,0.489
"586",1,1,1,0.9521,0.5535,0.9591
